what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1340854692595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340854694670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340854696277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340854697665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340905978958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340905988220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907471195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907471613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907665031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907666272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907667394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340907667949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908009571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908009983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908010037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908010603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908011834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908012741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908462489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908463129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908464127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340908464487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913179254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913180927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913191412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913198474
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1340913237575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913241578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1340913241779
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1340913245483
error,log,,,"Exception occurred while creating compilation participant",1340913245483
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340913247443
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1340913248016
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1340913249195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913261345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913354333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1340913354353
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1340913356313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913389879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913415278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913428114
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1340913443440
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1340913443803
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1340913467172
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1340913467173
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1340913467425
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1340913467578
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1340913467614
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1340913467903
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1340913467933
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1340913472090
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1340913472335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913485181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1340913485194
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340913486858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913492263
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494507
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494508
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494510
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494511
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494513
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494514
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494515
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494516
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494517
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1340913494519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913494769
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340913494781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1340913494781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913500493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340913564598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340913564780
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1340913600400
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1340913603638
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1340913609207
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1340913624033
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1340913624186
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1340913657510
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1340913658499
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1340913750541
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1340913750606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913801757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1340913801836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340913802167
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1340913802519
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1340913803090
jar,m2e.packaging,org.eclipse.m2e.core,1.0.100,"jar",1340913831900
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1340913831900
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1340913831900
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1340913831900
